year,team,ishome,week,pts,ptsallowed
2014,STL,0,14,24,0
2014,ARI,1,14,17,14
2014,KC,0,14,14,17
2014,DEN,1,14,24,17
2014,BUF,0,14,17,24
2014,OAK,1,14,24,13
2014,SF,0,14,13,24
2014,PHI,1,14,14,24
2014,SEA,0,14,24,14
2014,SD,1,14,14,23
2014,NE,0,14,23,14
2014,GB,1,14,43,37
2014,ATL,0,14,37,43
2014,STL,1,15,6,12
2014,ARI,0,15,12,6
2014,ATL,1,15,20,27
2014,PIT,0,15,27,20
2014,BAL,1,15,20,12
2014,JAC,0,15,12,20
2014,BUF,1,15,21,13
2014,GB,0,15,13,21
2014,CAR,1,15,19,17
2014,TB,0,15,17,19
2014,CLE,1,15,0,30
2014,CIN,0,15,30,0
2014,DET,1,15,16,14
2014,MIN,0,15,14,16
2014,IND,1,15,17,10
2014,HOU,0,15,10,17
2014,KC,1,15,31,13
2014,OAK,0,15,13,31
2014,NE,1,15,41,13
2014,MIA,0,15,13,41
2014,NYG,1,15,24,13
2014,WAS,0,15,13,24
2014,SD,1,15,10,22
2014,DEN,0,15,22,10
2014,TEN,1,15,11,16
2014,NYJ,0,15,16,11
2014,SEA,1,15,17,7
2014,SF,0,15,7,17
2014,PHI,1,15,27,38
2014,DAL,0,15,38,27
2014,CHI,1,15,15,31
2014,NO,0,15,31,15
2014,JAC,1,16,21,13
2014,TEN,0,16,13,21
2014,WAS,1,16,27,24
2014,PHI,0,16,24,27
2014,SF,1,16,35,38
2014,SD,0,16,38,35
2014,CAR,1,16,17,13
2014,CLE,0,16,13,17
2014,CHI,1,16,14,20
2014,DET,0,16,20,14
2014,HOU,1,16,25,13
2014,BAL,0,16,13,25
2014,MIA,1,16,37,35
2014,MIN,0,16,35,37
2014,NO,1,16,14,30
2014,ATL,0,16,30,14
2014,NYJ,1,16,16,17
2014,NE,0,16,17,16
2014,PIT,1,16,20,12
2014,KC,0,16,12,20
2014,TB,1,16,3,20
2014,GB,0,16,20,3
2014,STL,1,16,27,37
2014,NYG,0,16,37,27
2014,DAL,1,16,42,7
2014,IND,0,16,7,42
2014,OAK,1,16,26,24
2014,BUF,0,16,24,26
2014,ARI,1,16,6,35
2014,SEA,0,16,35,6
2014,CIN,1,16,37,28
2014,DEN,0,16,28,37
2014,ATL,1,17,3,34
2014,CAR,0,17,34,3
2014,BAL,1,17,20,10
2014,CLE,0,17,10,20
2014,GB,1,17,30,20
2014,DET,0,17,20,30
2014,HOU,1,17,23,17
2014,JAC,0,17,17,23
2014,KC,1,17,19,7
2014,SD,0,17,7,19
2014,MIA,1,17,24,37
2014,NYJ,0,17,37,24
2014,MIN,1,17,13,9
2014,CHI,0,17,9,13
2014,NE,1,17,9,17
2014,BUF,0,17,17,9
2014,NYG,1,17,26,34
2014,PHI,0,17,34,26
2014,PIT,1,17,27,17
2014,CIN,0,17,17,27
2014,TB,1,17,20,23
2014,NO,0,17,23,20
2014,TEN,1,17,10,27
2014,IND,0,17,27,10
2014,WAS,1,17,17,44
2014,DAL,0,17,44,17
2014,DEN,1,17,47,14
2014,OAK,0,17,14,47
2014,SF,1,17,20,17
2014,ARI,0,17,17,20
2014,SEA,1,17,20,6
2014,STL,0,17,6,20
