year,team,ishome,week,pts,ptsallowed
2009,STL,1,11,13,21
2009,ARI,0,11,21,13
2009,DEN,1,11,3,32
2009,SD,0,11,32,3
2009,NE,1,11,31,14
2009,NYJ,0,11,14,31
2009,OAK,1,11,20,17
2009,CIN,0,11,17,20
2009,CHI,1,11,20,24
2009,PHI,0,11,24,20
2009,HOU,1,11,17,20
2009,TEN,0,11,20,17
2009,DET,1,12,12,34
2009,GB,0,12,34,12
2009,DAL,1,12,24,7
2009,OAK,0,12,7,24
2009,DEN,1,12,26,6
2009,NYG,0,12,6,26
2009,ATL,1,12,20,17
2009,TB,0,12,17,20
2009,BUF,1,12,31,14
2009,MIA,0,12,14,31
2009,CIN,1,12,16,7
2009,CLE,0,12,7,16
2009,HOU,1,12,27,35
2009,IND,0,12,35,27
2009,MIN,1,12,36,10
2009,CHI,0,12,10,36
2009,NYJ,1,12,17,6
2009,CAR,0,12,6,17
2009,PHI,1,12,27,24
2009,WAS,0,12,24,27
2009,STL,1,12,17,27
2009,SEA,0,12,27,17
2009,TEN,1,12,20,17
2009,ARI,0,12,17,20
2009,SD,1,12,43,14
2009,KC,0,12,14,43
2009,SF,1,12,20,3
2009,JAC,0,12,3,20
2009,BAL,1,12,20,17
2009,PIT,0,12,17,20
2009,NO,1,12,38,17
2009,NE,0,12,17,38
2009,BUF,1,13,13,19
2009,NYJ,0,13,19,13
2009,ATL,1,13,7,34
2009,PHI,0,13,34,7
2009,CAR,1,13,16,6
2009,TB,0,13,6,16
2009,CHI,1,13,17,9
2009,STL,0,13,9,17
2009,CIN,1,13,23,13
2009,DET,0,13,13,23
2009,IND,1,13,27,17
2009,TEN,0,13,17,27
2009,JAC,1,13,23,18
2009,HOU,0,13,18,23
2009,KC,1,13,13,44
2009,DEN,0,13,44,13
2009,PIT,1,13,24,27
2009,OAK,0,13,27,24
2009,WAS,1,13,30,33
2009,NO,0,13,33,30
2009,CLE,1,13,23,30
2009,SD,0,13,30,23
2009,ARI,1,13,30,17
2009,MIN,0,13,17,30
2009,NYG,1,13,31,24
2009,DAL,0,13,24,31
2009,SEA,1,13,20,17
2009,SF,0,13,17,20
2009,MIA,1,13,22,21
2009,NE,0,13,21,22
2009,GB,1,13,27,14
2009,BAL,0,13,14,27
2009,CLE,1,14,13,6
2009,PIT,0,14,6,13
2009,ATL,1,14,23,26
2009,NO,0,14,26,23
2009,BAL,1,14,48,3
2009,DET,0,14,3,48
2009,CHI,1,14,14,21
2009,GB,0,14,21,14
2009,HOU,1,14,34,7
2009,SEA,0,14,7,34
2009,IND,1,14,28,16
2009,DEN,0,14,16,28
2009,JAC,1,14,10,14
2009,MIA,0,14,14,10
2009,KC,1,14,10,16
2009,BUF,0,14,16,10
2009,MIN,1,14,30,10
2009,CIN,0,14,10,30
2009,NE,1,14,20,10
2009,CAR,0,14,10,20
2009,TB,1,14,3,26
2009,NYJ,0,14,26,3
2009,TEN,1,14,47,7
2009,STL,0,14,7,47
2009,OAK,1,14,13,34
2009,WAS,0,14,34,13
2009,DAL,1,14,17,20
2009,SD,0,14,20,17
2009,NYG,1,14,38,45
2009,PHI,0,14,45,38
2009,SF,1,14,24,9
2009,ARI,0,14,9,24
2009,JAC,1,15,31,35
2009,IND,0,15,35,31
2009,NO,1,15,17,24
2009,DAL,0,15,24,17
2009,BAL,1,15,31,7
2009,CHI,0,15,7,31
2009,BUF,1,15,10,17
2009,NE,0,15,17,10
2009,DET,1,15,24,31
2009,ARI,0,15,31,24
2009,KC,1,15,34,41
2009,CLE,0,15,41,34
2009,NYJ,1,15,7,10
2009,ATL,0,15,10,7
2009,PHI,1,15,27,13
2009,SF,0,15,13,27
2009,PIT,1,15,37,36
2009,GB,0,15,36,37
2009,STL,1,15,13,16
2009,HOU,0,15,16,13
2009,TEN,1,15,27,24
2009,MIA,0,15,24,27
2009,DEN,1,15,19,20
2009,OAK,0,15,20,19
2009,SD,1,15,27,24
2009,CIN,0,15,24,27
2009,SEA,1,15,7,24
2009,TB,0,15,24,7
2009,CAR,1,15,26,7
2009,MIN,0,15,7,26
2009,WAS,1,15,12,45
2009,NYG,0,15,45,12
2009,TEN,1,16,17,42
2009,SD,0,16,42,17
2009,ATL,1,16,31,3
2009,BUF,0,16,3,31
2009,CIN,1,16,17,10
2009,KC,0,16,10,17
2009,CLE,1,16,23,9
2009,OAK,0,16,9,23
2009,GB,1,16,48,10
2009,SEA,0,16,10,48
2009,MIA,1,16,20,27
2009,HOU,0,16,27,20
2009,NYG,1,16,9,41
2009,CAR,0,16,41,9
2009,NE,1,16,35,7
2009,JAC,0,16,7,35
2009,NO,1,16,17,20
2009,TB,0,16,20,17
2009,PHI,1,16,30,27
2009,DEN,0,16,27,30
2009,PIT,1,16,23,20
2009,BAL,0,16,20,23
2009,ARI,1,16,31,10
2009,STL,0,16,10,31
2009,SF,1,16,20,6
2009,DET,0,16,6,20
2009,IND,1,16,15,29
2009,NYJ,0,16,29,15
2009,WAS,1,16,0,17
2009,DAL,0,16,17,0
2009,CHI,1,16,36,30
2009,MIN,0,16,30,36
2009,BUF,1,17,30,7
2009,IND,0,17,7,30
2009,CAR,1,17,23,10
2009,NO,0,17,10,23
2009,CLE,1,17,23,17
2009,JAC,0,17,17,23
2009,DAL,1,17,24,0
2009,PHI,0,17,0,24
2009,DET,1,17,23,37
2009,CHI,0,17,37,23
2009,HOU,1,17,34,27
2009,NE,0,17,27,34
2009,MIA,1,17,24,30
2009,PIT,0,17,30,24
2009,MIN,1,17,44,7
2009,NYG,0,17,7,44
2009,NYJ,1,17,37,0
2009,CIN,0,17,0,37
2009,STL,1,17,6,28
2009,SF,0,17,28,6
2009,TB,1,17,10,20
2009,ATL,0,17,20,10
2009,ARI,1,17,7,33
2009,GB,0,17,33,7
2009,DEN,1,17,24,44
2009,KC,0,17,44,24
2009,OAK,1,17,13,21
2009,BAL,0,17,21,13
2009,SD,1,17,23,20
2009,WAS,0,17,20,23
2009,SEA,1,17,13,17
2009,TEN,0,17,17,13
2010,NO,1,1,14,9
2010,MIN,0,1,9,14
2010,TB,1,1,17,14
2010,CLE,0,1,14,17
2010,BUF,1,1,10,15
2010,MIA,0,1,15,10
2010,NE,1,1,38,24
2010,CIN,0,1,24,38
2010,HOU,1,1,34,24
2010,IND,0,1,24,34
2010,JAC,1,1,24,17
2010,DEN,0,1,17,24
2010,TEN,1,1,38,13
2010,OAK,0,1,13,38
2010,NYG,1,1,31,18
2010,CAR,0,1,18,31
2010,CHI,1,1,19,14
2010,DET,0,1,14,19
2010,STL,1,1,13,17
2010,ARI,0,1,17,13
2010,PIT,1,1,15,9
2010,ATL,0,1,9,15
2010,PHI,1,1,20,27
