year,team,ishome,week,pts,ptsallowed
2013,DAL,0,10,17,49
2013,TB,1,10,22,19
2013,MIA,0,10,19,22
2013,TEN,1,11,27,30
2013,IND,0,11,30,27
2013,BUF,1,11,37,14
2013,NYJ,0,11,14,37
2013,CHI,1,11,23,20
2013,BAL,0,11,20,23
2013,CIN,1,11,41,20
2013,CLE,0,11,20,41
2013,HOU,1,11,23,28
2013,OAK,0,11,28,23
2013,JAC,1,11,14,27
2013,ARI,0,11,27,14
2013,MIA,1,11,20,16
2013,SD,0,11,16,20
2013,PHI,1,11,24,16
2013,WAS,0,11,16,24
2013,PIT,1,11,37,27
2013,DET,0,11,27,37
2013,TB,1,11,41,28
2013,ATL,0,11,28,41
2013,DEN,1,11,27,17
2013,KC,0,11,17,27
2013,NO,1,11,23,20
2013,SF,0,11,20,23
2013,SEA,1,11,41,20
2013,MIN,0,11,20,41
2013,NYG,1,11,27,13
2013,GB,0,11,13,27
2013,CAR,1,11,24,20
2013,NE,0,11,20,24
2013,ATL,1,12,13,17
2013,NO,0,12,17,13
2013,BAL,1,12,19,3
2013,NYJ,0,12,3,19
2013,CLE,1,12,11,27
2013,PIT,0,12,27,11
2013,DET,1,12,21,24
2013,TB,0,12,24,21
2013,GB,1,12,26,26
2013,MIN,0,12,26,26
2013,HOU,1,12,6,13
2013,JAC,0,12,13,6
2013,KC,1,12,38,41
2013,SD,0,12,41,38
2013,MIA,1,12,16,20
2013,CAR,0,12,20,16
2013,STL,1,12,42,21
2013,CHI,0,12,21,42
2013,ARI,1,12,40,11
2013,IND,0,12,11,40
2013,OAK,1,12,19,23
2013,TEN,0,12,23,19
2013,NYG,1,12,21,24
2013,DAL,0,12,24,21
2013,NE,1,12,34,31
2013,DEN,0,12,31,34
2013,WAS,1,12,6,27
2013,SF,0,12,27,6
2013,DET,1,13,40,10
2013,GB,0,13,10,40
2013,DAL,1,13,31,24
2013,OAK,0,13,24,31
2013,BAL,1,13,22,20
2013,PIT,0,13,20,22
2013,CAR,1,13,27,6
2013,TB,0,13,6,27
2013,CLE,1,13,28,32
2013,JAC,0,13,32,28
2013,IND,1,13,22,14
2013,TEN,0,13,14,22
2013,KC,1,13,28,35
2013,DEN,0,13,35,28
2013,MIN,1,13,23,20
2013,CHI,0,13,20,23
2013,NYJ,1,13,3,23
2013,MIA,0,13,23,3
2013,PHI,1,13,24,21
2013,ARI,0,13,21,24
2013,BUF,1,13,31,34
2013,ATL,0,13,34,31
2013,SF,1,13,23,13
2013,STL,0,13,13,23
2013,HOU,1,13,31,34
2013,NE,0,13,34,31
2013,SD,1,13,10,17
2013,CIN,0,13,17,10
2013,WAS,1,13,17,24
2013,NYG,0,13,24,17
2013,SEA,1,13,34,7
2013,NO,0,13,7,34
2013,JAC,1,14,27,20
2013,HOU,0,14,20,27
2013,BAL,1,14,29,26
2013,MIN,0,14,26,29
2013,CIN,1,14,42,28
2013,IND,0,14,28,42
2013,NE,1,14,27,26
2013,CLE,0,14,26,27
2013,NYJ,1,14,37,27
2013,OAK,0,14,27,37
2013,NO,1,14,31,13
2013,CAR,0,14,13,31
2013,PHI,1,14,34,20
2013,DET,0,14,20,34
2013,PIT,1,14,28,34
2013,MIA,0,14,34,28
2013,TB,1,14,27,6
2013,BUF,0,14,6,27
2013,WAS,1,14,10,45
2013,KC,0,14,45,10
2013,DEN,1,14,51,28
2013,TEN,0,14,28,51
2013,ARI,1,14,30,10
2013,STL,0,14,10,30
2013,SD,1,14,37,14
2013,NYG,0,14,14,37
2013,SF,1,14,19,17
2013,SEA,0,14,17,19
2013,GB,1,14,22,21
2013,ATL,0,14,21,22
2013,CHI,1,14,45,28
2013,DAL,0,14,28,45
2013,DEN,1,15,20,27
2013,SD,0,15,27,20
2013,ATL,1,15,27,26
2013,WAS,0,15,26,27
2013,CLE,1,15,31,38
2013,CHI,0,15,38,31
2013,IND,1,15,25,3
2013,HOU,0,15,3,25
2013,JAC,1,15,20,27
2013,BUF,0,15,27,20
2013,MIA,1,15,24,20
2013,NE,0,15,20,24
2013,MIN,1,15,48,30
2013,PHI,0,15,30,48
2013,NYG,1,15,0,23
2013,SEA,0,15,23,0
2013,STL,1,15,27,16
2013,NO,0,15,16,27
2013,TB,1,15,14,33
2013,SF,0,15,33,14
2013,TEN,1,15,34,37
2013,ARI,0,15,37,34
2013,CAR,1,15,30,20
2013,NYJ,0,15,20,30
2013,OAK,1,15,31,56
2013,KC,0,15,56,31
2013,DAL,1,15,36,37
2013,GB,0,15,37,36
2013,PIT,1,15,30,20
2013,CIN,0,15,20,30
2013,DET,1,15,16,18
2013,BAL,0,15,18,16
2013,BUF,1,16,19,0
2013,MIA,0,16,0,19
2013,CAR,1,16,17,13
2013,NO,0,16,13,17
2013,CIN,1,16,42,14
2013,MIN,0,16,14,42
2013,HOU,1,16,13,37
2013,DEN,0,16,37,13
2013,JAC,1,16,16,20
2013,TEN,0,16,20,16
2013,KC,1,16,7,23
2013,IND,0,16,23,7
2013,NYJ,1,16,24,13
2013,CLE,0,16,13,24
2013,PHI,1,16,54,11
2013,CHI,0,16,11,54
2013,STL,1,16,23,13
2013,TB,0,16,13,23
2013,WAS,1,16,23,24
2013,DAL,0,16,24,23
2013,DET,1,16,20,23
2013,NYG,0,16,23,20
2013,SEA,1,16,10,17
2013,ARI,0,16,17,10
2013,GB,1,16,31,38
2013,PIT,0,16,38,31
2013,SD,1,16,26,13
2013,OAK,0,16,13,26
2013,BAL,1,16,7,41
2013,NE,0,16,41,7
2013,SF,1,16,34,24
2013,ATL,0,16,24,34
2013,ATL,1,17,20,21
2013,CAR,0,17,21,20
2013,CHI,1,17,28,33
2013,GB,0,17,33,28
2013,CIN,1,17,34,17
2013,BAL,0,17,17,34
2013,DAL,1,17,22,24
2013,PHI,0,17,24,22
2013,IND,1,17,30,10
2013,JAC,0,17,10,30
2013,MIA,1,17,7,20
2013,NYJ,0,17,20,7
2013,MIN,1,17,14,13
2013,DET,0,17,13,14
2013,NE,1,17,34,20
2013,BUF,0,17,20,34
2013,NO,1,17,42,17
2013,TB,0,17,17,42
2013,NYG,1,17,20,6
2013,WAS,0,17,6,20
2013,PIT,1,17,20,7
2013,CLE,0,17,7,20
2013,TEN,1,17,16,10
2013,HOU,0,17,10,16
2013,ARI,1,17,20,23
2013,SF,0,17,23,20
2013,OAK,1,17,14,34
2013,DEN,0,17,34,14
2013,SD,1,17,27,24
2013,KC,0,17,24,27
2013,SEA,1,17,27,9
2013,STL,0,17,9,27
